date,open,high,low,close,volume,dividends,splits,ticker
2016-07-13,28.436151474393366,28.630072502634636,28.42733545159575,28.5242977142334,33762976,0.0,0.0,GE
2016-07-14,28.64770395347322,28.84162673804157,28.638889678837632,28.76229476928711,35232912,0.0,0.0,GE
2016-07-15,28.87688565947699,29.044363872052852,28.85925536164332,28.982662200927734,44001152,0.0,0.0,GE
2016-07-18,28.991473479013017,29.035546596266137,28.788736440241905,29.009103775024414,39795704,0.0,0.0,GE
2016-07-19,28.86807136796121,29.044363855092417,28.841626795484693,29.026735305786133,34900008,0.0,0.0,GE
2016-07-20,29.05317609367035,29.08843318769018,28.823994491440295,28.894512176513672,36980112,0.0,0.0,GE
2016-07-21,28.850436780108733,28.956213305768856,28.63888547730532,28.727031707763672,44102656,0.0,0.0,GE
2016-07-22,27.968972139043135,28.268671451993622,27.933713293489134,28.259857177734375,60074352,0.0,0.0,GE
2016-07-25,28.268672095045353,28.277486369505105,27.660459181049585,27.88964080810547,47557848,0.0,0.0,GE
2016-07-26,27.916084187014977,27.968971580030416,27.598754583371413,27.739789962768555,38380056,0.0,0.0,GE
2016-07-27,27.75741797712771,27.81911963915287,27.431274126217897,27.572309494018555,40826760,0.0,0.0,GE
2016-07-28,27.50179289552532,27.598753403327365,27.396016365500167,27.545866012573242,31509400,0.0,0.0,GE
2016-07-29,27.572309108316464,27.70452845239237,27.42245946925368,27.448904037475586,52054288,0.0,0.0,GE
2016-08-01,27.431275233197454,27.519423215888462,27.34312899902335,27.457719802856445,32401096,0.0,0.0,GE
2016-08-02,27.42246273588374,27.466535855825807,27.325500473197582,27.36957359313965,28080624,0.0,0.0,GE
2016-08-03,27.35194394310887,27.537052438224855,27.35194394310887,27.44009017944336,20806240,0.0,0.0,GE
2016-08-04,27.50179590614857,27.545869028021176,27.40483538773225,27.475351333618164,21105448,0.0,0.0,GE
2016-08-05,27.56349522066022,27.72215913517754,27.519422105351723,27.572309494018555,22440392,0.0,0.0,GE
2016-08-08,27.5899403656382,27.678088352199936,27.510608401694522,27.56349754333496,21251464,0.0,0.0,GE
2016-08-09,27.528245065330857,27.634021624559463,27.457727359178456,27.589946746826172,20913152,0.0,0.0,GE
2016-08-10,27.54586724661582,27.625199210559497,27.501794127593445,27.56349754333496,19279624,0.0,0.0,GE
2016-08-11,27.598755715637427,27.651644859339672,27.50179519971173,27.581127166748047,39505648,0.0,0.0,GE
2016-08-12,27.501795215573498,27.5723129082058,27.4841649181569,27.53705406188965,22180080,0.0,0.0,GE
2016-08-15,27.589941457105347,27.634016326388323,27.5194255129901,27.53705406188965,20335432,0.0,0.0,GE
2016-08-16,27.44890402765778,27.581123371686395,27.396014891232884,27.492977142333984,23278944,0.0,0.0,GE
2016-08-17,27.554682594896924,27.61638601304386,27.484164902305295,27.581127166748047,18302024,0.0,0.0,GE
2016-08-18,27.54586679068121,27.704530715942383,27.49297939843314,27.704530715942383,29162848,0.0,0.0,GE
2016-08-19,27.60756942555047,27.678087112233904,27.484162599596008,27.545866012573242,25732512,0.0,0.0,GE
2016-08-22,27.475351440890837,27.704533074336876,27.396019471506985,27.607572555541992,21278920,0.0,0.0,GE
2016-08-23,27.722161066486215,27.827935851188844,27.528238296508786,27.52823829650879,33401368,0.0,0.0,GE
2016-08-24,27.563493736715017,27.63401141681886,27.47534576232684,27.519420623779297,22926904,0.0,0.0,GE
2016-08-25,27.492978218593215,27.589938724973187,27.440089080097884,27.51060676574707,17709016,0.0,0.0,GE
2016-08-26,27.563497140915317,27.730975340458606,27.448906333723336,27.52823829650879,23156224,0.0,0.0,GE
